,total
0,0.0410151656717062
1,0.040605681017041206
2,0.04030720144510269
3,0.03993976153433323
4,0.03945172876119614
5,0.03887424729764462
6,0.03843837566673756
7,0.03776057660579681
8,0.03686908930540085
9,0.03677459470927715
10,0.036263486742973326
11,0.03523437902331352
12,0.03443620726466179
13,0.03512589186429978
14,0.034452801942825316
15,0.033378370106220245
16,0.032634313032031056
17,0.032530678808689116
18,0.03238024711608887
19,0.03242718912661076
20,0.03178720511496067
21,0.03150421343743801
22,0.031587591767311095
23,0.0310000978410244
24,0.030661961063742638
25,0.03057926371693611
26,0.03023441545665264
27,0.030453752726316452
28,0.030177739262580872
29,0.029699500650167465
30,0.02933121509850025
31,0.029304391145706175
32,0.02927934117615223
33,0.02908869907259941
34,0.029783787578344344
35,0.029290489107370376
36,0.02886761799454689
37,0.028847033530473708
38,0.02879445403814316
39,0.028536323457956314
40,0.028044167533516885
41,0.027586496621370315
42,0.02740747407078743
43,0.02801743596792221
44,0.027680874243378638
45,0.02756372094154358
46,0.027752698957920076
47,0.028142772242426874
48,0.028095924854278566
49,0.02796436920762062
50,0.027349048852920534
51,0.026736928150057793
52,0.026466845348477364
53,0.026191255450248717
54,0.026541876047849654
55,0.02619522251188755
56,0.026037945598363876
57,0.027442411705851554
58,0.02771204449236393
59,0.02677222415804863
60,0.02638528384268284
61,0.02609487697482109
62,0.02591875530779362
63,0.025856133177876474
64,0.02576249074190855
65,0.02555861007422209
66,0.025309143587946892
67,0.025242235139012338
68,0.025160001032054423
69,0.025244972109794615
70,0.025216023623943328
71,0.025394435599446298
72,0.02516673319041729
73,0.025178123265504837
74,0.025015827268362045
75,0.025324159301817417
76,0.025357242673635483
77,0.02508913166821003
78,0.02481150031089783
79,0.02470267452299595
80,0.024913666769862175
81,0.02494913563132286
82,0.02491430938243866
83,0.024798482842743396
84,0.024739988148212433
85,0.02452963888645172
86,0.024759892746806143
87,0.024498960003256798
88,0.024393674358725546
89,0.024357558228075504
90,0.024259918928146364
91,0.02433518096804619
92,0.024342242255806924
93,0.02449834868311882
94,0.02476574294269085
95,0.024412690289318563
96,0.02426317296922207
97,0.024420621804893017
98,0.0242817560210824
99,0.024207672104239464
100,0.024132204614579676
101,0.02414574921131134
102,0.024131227657198905
103,0.02432902380824089
104,0.02460575755685568
105,0.024256718903779985
106,0.024141373112797737
107,0.024259946122765542
108,0.024589988216757775
109,0.024337051995098592
110,0.024482513777911663
111,0.02426239289343357
112,0.024225444719195365
113,0.02397841922938824
114,0.02389986701309681
115,0.023997366428375244
116,0.02385249324142933
117,0.023872912488877775
118,0.023975320160388947
119,0.024130883812904357
120,0.02402023524045944
121,0.0239332290366292
122,0.023965971544384956
123,0.02388987150043249
124,0.024083680659532546
125,0.0240127632394433
126,0.024233293905854224
127,0.024142896011471748
128,0.023974446579813957
129,0.02420925535261631
130,0.0241522628813982
131,0.023958294093608855
132,0.023916670121252537
133,0.023799640871584416
134,0.0238682197406888
135,0.023944940604269504
136,0.023867790587246418
137,0.023742660880088806
138,0.023681804537773132
139,0.023785800486803056
140,0.02386821899563074
141,0.023912534676492216
142,0.023898135125637054
143,0.02378244586288929
144,0.023702904395759106
145,0.023622754402458666
146,0.023743050172924995
147,0.023589738458395005
148,0.02366610523313284
149,0.023655965924263
150,0.02374027408659458
151,0.02359596323221922
152,0.02365299966186285
153,0.023736728355288506
154,0.023580463230609895
155,0.02357323169708252
156,0.02360557820647955
157,0.02367697488516569
158,0.023754940181970597
159,0.023715986311435698
160,0.023545365780591965
161,0.02355787381529808
162,0.02360369749367237
163,0.023579979501664638
164,0.02376598808914423
165,0.023747500590980054
166,0.02372015081346035
167,0.023517821356654166
168,0.023500856757164002
169,0.023522756807506085
170,0.02339472696185112
171,0.023440116457641123
172,0.02333491276949644
173,0.02343116085976362
174,0.023423909209668636
175,0.02350701969116926
176,0.023391124419867994
177,0.02357166800647974
178,0.023525251448154448
179,0.023396879248321057
180,0.023394104838371278
181,0.02332671731710434
182,0.023319325037300588
183,0.02333545684814453
184,0.02361416146159172
185,0.023624454252421857
186,0.023477071337401866
187,0.02362124212086201
188,0.023480746336281298
189,0.023411357402801515
